id;placed_date;status;total_price;payment_method;customer_details_id
1;2021-01-19T05:45:39;CANCELLED;24351;CREDIT_CARD;1
2;2021-01-18T20:49:25;COMPLETED;25857;CREDIT_CARD;2
3;2021-01-19T12:11:37;PENDING;21769;CASH;3
4;2021-01-19T04:58:30;PENDING;74567;IDEAL;4
5;2021-01-19T00:39:39;PAID;5450;IDEAL;5
6;2021-01-19T17:00:54;CANCELLED;11029;CREDIT_CARD;6
7;2021-01-18T18:54:02;PAID;11270;CREDIT_CARD;7
8;2021-01-19T00:15:33;PENDING;25583;CREDIT_CARD;8
9;2021-01-19T14:00:50;CANCELLED;65407;IDEAL;9
10;2021-01-19T13:29:07;PENDING;39415;IDEAL;10
